Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Tue, Oct 24, 2023",7:30p,Los Angeles Lakers,107,Denver Nuggets,119,Box Score,,"19,842",Ball Arena,
"Tue, Oct 24, 2023",10:00p,Phoenix Suns,108,Golden State Warriors,104,Box Score,,"18,064",Chase Center,
"Wed, Oct 25, 2023",7:00p,Houston Rockets,86,Orlando Magic,116,Box Score,,"18,846",Amway Center,
"Wed, Oct 25, 2023",7:00p,Boston Celtics,108,New York Knicks,104,Box Score,,"19,812",Madison Square Garden (IV),
"Wed, Oct 25, 2023",7:00p,Washington Wizards,120,Indiana Pacers,143,Box Score,,"16,004",Gainbridge Fieldhouse,
"Wed, Oct 25, 2023",7:00p,Atlanta Hawks,110,Charlotte Hornets,116,Box Score,,"16,129",Spectrum Center,
"Wed, Oct 25, 2023",7:30p,Detroit Pistons,102,Miami Heat,103,Box Score,,"19,695",Kaseya Center,
"Wed, Oct 25, 2023",7:30p,Minnesota Timberwolves,94,Toronto Raptors,97,Box Score,,"19,800",Scotiabank Arena,
"Wed, Oct 25, 2023",7:30p,Cleveland Cavaliers,114,Brooklyn Nets,113,Box Score,,"17,931",Barclays Center,
"Wed, Oct 25, 2023",8:00p,New Orleans Pelicans,111,Memphis Grizzlies,104,Box Score,,"17,798",FedEx Forum,
"Wed, Oct 25, 2023",8:00p,Oklahoma City Thunder,124,Chicago Bulls,104,Box Score,,"21,369",United Center,
"Wed, Oct 25, 2023",9:00p,Sacramento Kings,130,Utah Jazz,114,Box Score,,"18,206",Delta Center,
"Wed, Oct 25, 2023",9:30p,Dallas Mavericks,126,San Antonio Spurs,119,Box Score,,"18,947",Frost Bank Center,
"Wed, Oct 25, 2023",10:30p,Portland Trail Blazers,111,Los Angeles Clippers,123,Box Score,,"19,370",Crypto.com Arena,
"Thu, Oct 26, 2023",7:30p,Philadelphia 76ers,117,Milwaukee Bucks,118,Box Score,,"17,783",Fiserv Forum,
"Thu, Oct 26, 2023",10:00p,Phoenix Suns,95,Los Angeles Lakers,100,Box Score,,"18,997",Crypto.com Arena,
"Fri, Oct 27, 2023",7:00p,Denver Nuggets,108,Memphis Grizzlies,104,Box Score,,"16,617",FedEx Forum,
"Fri, Oct 27, 2023",7:00p,Detroit Pistons,111,Charlotte Hornets,99,Box Score,,"15,855",Spectrum Center,
"Fri, Oct 27, 2023",7:30p,New York Knicks,126,Atlanta Hawks,120,Box Score,,"17,692",State Farm Arena,
"Fri, Oct 27, 2023",7:30p,Oklahoma City Thunder,108,Cleveland Cavaliers,105,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Fri, Oct 27, 2023",7:30p,Miami Heat,111,Boston Celtics,119,Box Score,,"19,156",TD Garden,
"Fri, Oct 27, 2023",8:00p,Toronto Raptors,103,Chicago Bulls,104,Box Score,OT,"19,555",United Center,
"Fri, Oct 27, 2023",8:00p,Houston Rockets,122,San Antonio Spurs,126,Box Score,OT,"18,354",Frost Bank Center,
"Fri, Oct 27, 2023",8:30p,Brooklyn Nets,120,Dallas Mavericks,125,Box Score,,"20,238",American Airlines Center,
"Fri, Oct 27, 2023",9:30p,Los Angeles Clippers,118,Utah Jazz,120,Box Score,,"18,206",Delta Center,
"Fri, Oct 27, 2023",10:00p,Orlando Magic,102,Portland Trail Blazers,97,Box Score,,"19,464",Moda Center,
"Fri, Oct 27, 2023",10:00p,Golden State Warriors,122,Sacramento Kings,114,Box Score,,"18,250",Golden 1 Center,
"Sat, Oct 28, 2023",7:00p,Chicago Bulls,102,Detroit Pistons,118,Box Score,,"20,062",Little Caesars Arena,
"Sat, Oct 28, 2023",7:00p,Memphis Grizzlies,106,Washington Wizards,113,Box Score,,"16,191",Capital One Arena,
"Sat, Oct 28, 2023",7:00p,New York Knicks,87,New Orleans Pelicans,96,Box Score,,"16,331",Smoothie King Center,
"Sat, Oct 28, 2023",7:30p,Indiana Pacers,125,Cleveland Cavaliers,113,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Sat, Oct 28, 2023",7:30p,Philadelphia 76ers,114,Toronto Raptors,107,Box Score,,"19,800",Scotiabank Arena,
"Sat, Oct 28, 2023",8:00p,Miami Heat,90,Minnesota Timberwolves,106,Box Score,,"18,024",Target Center,
"Sat, Oct 28, 2023",10:00p,Utah Jazz,104,Phoenix Suns,126,Box Score,,"17,071",Footprint Center,
"Sun, Oct 29, 2023",3:30p,Denver Nuggets,128,Oklahoma City Thunder,95,Box Score,,"18,203",Paycom Center,
"Sun, Oct 29, 2023",7:00p,Golden State Warriors,106,Houston Rockets,95,Box Score,,"18,055",Toyota Center,
"Sun, Oct 29, 2023",7:00p,Atlanta Hawks,127,Milwaukee Bucks,110,Box Score,,"17,341",Fiserv Forum,
"Sun, Oct 29, 2023",7:30p,Portland Trail Blazers,98,Philadelphia 76ers,126,Box Score,,"19,768",Wells Fargo Center,
"Sun, Oct 29, 2023",9:00p,San Antonio Spurs,83,Los Angeles Clippers,123,Box Score,,"19,370",Crypto.com Arena,
"Sun, Oct 29, 2023",9:00p,Los Angeles Lakers,127,Sacramento Kings,132,Box Score,OT,"18,198",Golden 1 Center,
"Mon, Oct 30, 2023",7:00p,Chicago Bulls,112,Indiana Pacers,105,Box Score,,"15,021",Gainbridge Fieldhouse,
"Mon, Oct 30, 2023",7:00p,Boston Celtics,126,Washington Wizards,107,Box Score,,"17,898",Capital One Arena,
"Mon, Oct 30, 2023",7:00p,Brooklyn Nets,133,Charlotte Hornets,121,Box Score,,"14,491",Spectrum Center,
"Mon, Oct 30, 2023",7:30p,Portland Trail Blazers,99,Toronto Raptors,91,Box Score,,"19,266",Scotiabank Arena,
"Mon, Oct 30, 2023",7:30p,Minnesota Timberwolves,113,Atlanta Hawks,127,Box Score,,"15,504",State Farm Arena,
"Mon, Oct 30, 2023",8:00p,Dallas Mavericks,125,Memphis Grizzlies,110,Box Score,,"15,031",FedEx Forum,
"Mon, Oct 30, 2023",8:00p,Miami Heat,114,Milwaukee Bucks,122,Box Score,,"17,341",Fiserv Forum,
"Mon, Oct 30, 2023",8:00p,Golden State Warriors,130,New Orleans Pelicans,102,Box Score,,"17,286",Smoothie King Center,
"Mon, Oct 30, 2023",8:00p,Detroit Pistons,112,Oklahoma City Thunder,124,Box Score,,"16,127",Paycom Center,
"Mon, Oct 30, 2023",9:00p,Utah Jazz,102,Denver Nuggets,110,Box Score,,"19,671",Ball Arena,
"Mon, Oct 30, 2023",10:30p,Orlando Magic,103,Los Angeles Lakers,106,Box Score,,"18,997",Crypto.com Arena,
"Tue, Oct 31, 2023",7:30p,New York Knicks,109,Cleveland Cavaliers,91,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Tue, Oct 31, 2023",10:00p,San Antonio Spurs,115,Phoenix Suns,114,Box Score,,"17,071",Footprint Center,
"Tue, Oct 31, 2023",10:30p,Orlando Magic,102,Los Angeles Clippers,118,Box Score,,"14,014",Crypto.com Arena,